canonical_smiles,molecule_chembl_ids,parent_molecule_chembl_ids,activity_ids,document_chembl_ids,pchembl_values
CC(C)(C)OC(=O)C1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,CHEMBL3350613,CHEMBL3350613,207732;8031722;14644263,CHEMBL1135517;CHEMBL1949672;CHEMBL3259781,8.19;8.19;8.19
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#C[C@@H](O)c4ccccc4)nc32)[C@H](O)[C@@H]1O,CHEMBL224874,CHEMBL224874,207738;1831034,CHEMBL1135517;CHEMBL1144471,8.7;8.7
CCCN(C)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,CHEMBL113009,CHEMBL113009,208069,CHEMBL1149198,7.36
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#Cc4ccccc4)nc32)[C@H](O)[C@@H]1O,CHEMBL223270,CHEMBL223270,208915;1822815,CHEMBL1135517;CHEMBL1142938,6.21;6.21
CC1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,CHEMBL114185,CHEMBL114185,209238,CHEMBL1149198,7.57
Nc1cc(C(=O)N2CCSCC2)cn2nc(-c3ccc(Br)o3)nc12,CHEMBL323754,CHEMBL323754,209240,CHEMBL1149198,7.14
Nc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL375190,CHEMBL375190,211206;1466067;1822775;3563388,CHEMBL1135517;CHEMBL1138752;CHEMBL1142938;CHEMBL1275355,6.44;6.44;6.44;6.44
COC[C@@H]1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,CHEMBL110047,CHEMBL110047,211597,CHEMBL1149198,7.8
Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCCC4)cn3n2)o1,CHEMBL419191,CHEMBL419191,211599,CHEMBL1149198,7.24
Cc1ccc(-c2nc3cc(C(=O)N4CCCC4)cc(N)n3n2)o1,CHEMBL324591,CHEMBL324591,212748,CHEMBL1149198,7.77
Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,CHEMBL113142,CHEMBL113142,212750;1601985;1611083;2292180;2563433;2929205;6284466;6284474;13300508;13300517;13300533;13398778;13398789;14645600;15151028;15151055;16493424;16536804;16853808;16853811;16853858;16853876;16914178;16914193;16914201;16914223;16914231;16914242;16914471;16914481;16914677;16914911;16914938;16914964;18167761;18236235;18434021;18434034;18434085;18694860;18694877;18694878;19309982;19320173;19405642;20665898;22756951;22992947;24351921;24405797;24710027;24772319;24772347;24781553;24781580;24781743;25459852,CHEMBL1149198;CHEMBL1143471;CHEMBL1140374;CHEMBL1137738;CHEMBL1155896;CHEMBL1155223;CHEMBL1800001;CHEMBL1800001;CHEMBL2380258;CHEMBL2380258;CHEMBL2380258;CHEMBL2412992;CHEMBL2412992;CHEMBL3259781;CHEMBL3392981;CHEMBL3392981;CHEMBL3769306;CHEMBL3784997;CHEMBL3877301;CHEMBL3877301;CHEMBL3877301;CHEMBL3877301;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL4033759;CHEMBL4049429;CHEMBL4152311;CHEMBL4152311;CHEMBL4152311;CHEMBL4251607;CHEMBL4251607;CHEMBL4251607;CHEMBL4414598;CHEMBL4414680;CHEMBL4425116;CHEMBL4616721;CHEMBL4699449;CHEMBL4765483;CHEMBL5030563;CHEMBL5042528;CHEMBL5108007;CHEMBL5126505;CHEMBL5126505;CHEMBL5126601;CHEMBL5126601;CHEMBL5126601;CHEMBL5321195,9.1;9.52;10.0;7.19;9.1;8.92;8.7;9.3;7.38;7.38;8.8;8.8;8.89;9.1;7.48;7.48;8.8;8.72;9.04;9.03;8.84;9.17;7.99;8.4;8.58;8.91;9.22;9.46;9.69;9.63;8.9;9.49;9.4;9.54;8.28;8.72;8.91;9.08;9.06;8.8;7.09;8.89;8.72;9.52;9.4;8.72;9.1;8.72;8.59;8.72;8.8;8.8;8.84;9.54;9.4;8.82;8.72
CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,CHEMBL319387,CHEMBL319387,214725;1204470;8031117,CHEMBL1135517;CHEMBL1135807;CHEMBL1949672,8.24;8.0;8.24
Nc1cc(C(=O)N2CCSCC2)cc2nc(-c3ccc(Br)o3)nn12,CHEMBL325237,CHEMBL325237,216257,CHEMBL1149198,8.05
CCCCC#Cc1nc(NC(C)C)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,CHEMBL261623,CHEMBL261623,217145,CHEMBL1135517,6.71
Nc1cc(C(=O)N2CCCC2)cn2nc(-c3cccs3)nc12,CHEMBL433162,CHEMBL433162,217492,CHEMBL1149198,6.71
CCN(CC)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,CHEMBL110069,CHEMBL110069,219977,CHEMBL1149198,8.52
CCN(CC)C(=O)C1CCCN(C(=O)c2cc(N)n3nc(-c4ccc(Br)o4)nc3c2)C1,CHEMBL332718,CHEMBL332718,219979,CHEMBL1149198,8.1
CC(C)Nc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL259938,CHEMBL259938,220743,CHEMBL1135517,7.37
CCN(CCc1ccccn1)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,CHEMBL113468,CHEMBL113468,221045,CHEMBL1149198,7.12
Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccco3)nc12,CHEMBL113412,CHEMBL113412,221047,CHEMBL1149198,7.24
CCCn1c(=O)c2nc[nH]c2n(CCC)c1=O,CHEMBL157655,CHEMBL157655,273565,CHEMBL1125335,7.3
CCCCn1c(=O)c2nc[nH]c2n(CCC)c1=O,CHEMBL446679,CHEMBL446679,280798,CHEMBL1125335,7.52
CCCn1c(=O)c2c(ncn2C)n(CCC)c1=O,CHEMBL278332,CHEMBL278332,296597,CHEMBL1125335,6.22
COc1ccc2c(O)cc(-c3ccccc3)nc2n1,CHEMBL329294,CHEMBL329294,305282,CHEMBL1149169,6.31
Oc1cc(-c2ccccc2)nc2nc(F)ccc12,CHEMBL97757,CHEMBL97757,306583;1240187,CHEMBL1149169;CHEMBL1132946,6.77;6.77
Oc1cc(-c2ccccc2)nc2nc(Cl)ccc12,CHEMBL97760,CHEMBL97760,307883;307886;1230127,CHEMBL1149169;CHEMBL1149169;CHEMBL1132946,7.0;6.35;7.0
Cc1ccc2c(O)cc(-c3cccc([N+](=O)[O-])c3)nc2n1,CHEMBL321769,CHEMBL321769,309377,CHEMBL1149169,6.24
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,CHEMBL183,CHEMBL183,313272;313275;384069;531498;531499;531500;832476;832478;832480;887085;975591;999928;1404102;1611093;1652696;1652699;1653124;1746147;1746152;1917511;1996055;2110363;2142200;2281136;2281750;2292179;2339566;2563459;3285628;3560503;10887418;13398775;13398786;13489797;14994271;16536805;16914903;16914927;18236236;19274389;19274556;20665897;22992948;24405840;25459851,CHEMBL1149169;CHEMBL1149169;CHEMBL1127455;CHEMBL1130114;CHEMBL1130114;CHEMBL1130114;CHEMBL1131846;CHEMBL1131846;CHEMBL1131846;CHEMBL1134334;CHEMBL1148352;CHEMBL1133616;CHEMBL1145202;CHEMBL1140374;CHEMBL1140434;CHEMBL1140434;CHEMBL1141186;CHEMBL1138044;CHEMBL1138044;CHEMBL1148732;CHEMBL1137613;CHEMBL1143166;CHEMBL1143999;CHEMBL1153377;CHEMBL1153402;CHEMBL1137738;CHEMBL1150363;CHEMBL1155896;CHEMBL1157749;CHEMBL1275345;CHEMBL2029296;CHEMBL2412992;CHEMBL2412992;CHEMBL2434872;CHEMBL3351777;CHEMBL3784997;CHEMBL3885741;CHEMBL3885741;CHEMBL4049429;CHEMBL4406810;CHEMBL4406810;CHEMBL4616721;CHEMBL4765483;CHEMBL5042528;CHEMBL5321195,6.7;6.84;6.47;6.65;6.1;6.54;6.58;6.66;7.16;6.47;6.47;6.47;6.89;7.25;6.47;6.58;6.47;6.47;6.58;6.58;6.47;6.47;6.89;6.89;6.58;6.89;6.58;6.89;6.89;6.58;6.47;6.89;6.2;6.47;6.58;6.8;6.97;7.12;6.8;6.88;7.01;6.8;6.8;6.8;6.8
